Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2
asparagus lasagna,"vegetables	pasta",8 servings,"4 lb asparagus, trimmed	3 tb extra-virgin olive oil	6    7 by 6 1/4 inch sheets	no boil lasagna noodles	1/8 lb unsalted butter	1/4 c  all-purpose flour	1 1/2 c  chicken broth	1/2 c  water	7 oz mild goat cheese	such as montrachet	1 ts freshly grated lemon	zest, or to taste	1 2/3 c  freshly grated	parmesan cheese	1 c  heavy cream","<RECIPE_START> cut off the tough ends of the asparagus spears in a large saucepan , heat the oil and butter in the oil until it is hot add the leeks and cook , stirring occasionally , until the potatoes are tender , about 5 minutes remove the pan from the heat and add the remaining ingredients except the parsley and the lemon juice and heat through serve over rice <RECIPE_END>","<RECIPE_START> cook the asparagus spears in a large pot of boiling salted water until tender , about 1 hour drain and set aside in a large saucepan , heat the olive oil over medium heat add the mushrooms and cook until the asparagus is translucent , about 10 minutes add the asparagus and cook until the asparagus is tender , about 5 minutes add the broth and cook until the sauce is reduced by half , about 2 minutes add the cream and cook until the sauce is reduced by half , about 5 minutes add the cream and cook until the sauce is thickened , about 5 minutes add the pasta and cook until the pasta is al dente , about 10 minutes drain and reserve the liquid and set aside in a large skillet , heat the olive oil over medium heat add the pasta and cook until the pasta is just beginning to brown , about 5 minutes drain and reserve the liquid and set aside in a large skillet , heat the olive oil over medium heat add the pasta and cook until the pasta is just beginning to brown , about 5 minutes drain and reserve the liquid add the pasta to the skillet and cook until the pasta is al dente , about 10 minutes drain and reserve the liquid and set aside in a large skillet , heat the olive oil over medium heat add the pasta and cook until the pasta is just beginning to brown , about 5 minutes drain and reserve the liquid and set aside in a large skillet , heat the olive oil over medium heat add the pasta and cook until the pasta is just beginning to brown , about 5 minutes drain and set aside in a large skillet , heat the olive oil over medium heat add the pasta and cook until the pasta is just beginning to brown , about 5 minutes drain and set aside in a large skillet , heat the olive oil over medium heat add the pasta and cook until the pasta is just beginning to brown , about 5 minutes drain and set aside in a large skillet , heat the olive oil over medium heat add the pasta and cook until the pasta is just beginning to brown , about 5 minutes drain and set aside in a large skillet , heat the olive oil over medium heat add the garlic and cook until the pasta is just beginning to brown , about 5 minutes add the pasta and cook until the pasta is al dente , about 10 minutes drain and set aside in a large saucepan , heat the olive oil over medium heat add the pasta and cook until the pasta is just beginning to brown , about 5 minutes drain and set aside in a large skillet , heat the olive oil over medium heat add the pasta and cook until the pasta is just beginning to brown , about 5 minutes drain and set aside in a large skillet , heat the olive oil over medium heat add the pasta and cook until the pasta is just beginning to brown , about 5 minutes drain and set aside in a large skillet , heat the olive oil over medium heat add the garlic and cook until the pasta is just beginning to brown , about 5 minutes add the pasta and cook until the pasta is al dente , about 10 minutes drain and set aside in a large saucepan , heat the <RECIPE_END>","<RECIPE_START> remove the tough outer leaves from the asparagus and discard the stems and stems cut the asparagus into 1/2 - inch pieces and set aside in a large saucepan , melt the butter over medium - high heat add the shallots and cook until the butter melts , about 5 minutes add the flour and stir until the butter is melted and the mixture is smooth and the mixture is smooth add the flour and stir until it is smooth and the sauce is smooth and the sauce is smooth and the sauce is smooth and the sauce is smooth , about 5 minutes stir in the cream and the parmesan cheese cook the pasta until al dente , about 5 minutes drain the pasta and toss with the pasta and the parmesan cheese in a small bowl , whisk together the cream and the cream and whisk in the cream and the parmesan cheese in a small bowl , whisk the egg yolks with the remaining 2 tablespoons of the hot butter and the remaining 2 tablespoons of the hot butter , whisking constantly , until the mixture is smooth and smooth , about 5 minutes add the cream and the remaining 2 tablespoons of the parmesan cheese and the remaining 2 tablespoons of the parmesan cheese and the remaining 2 tablespoons of the parmesan cheese and the remaining 2 tablespoons of the parmesan cheese process until the cheese is melted and the cheese is melted and the cheese is melted and the cheese is melted and the cheese is melted and the cheese is melted <RECIPE_END>","<RECIPE_START> snap asparagus from the water and place in a large saucepan with the cream , water , and lemon zest bring to a boil , reduce the heat and simmer , uncovered , for 1 hour , or until the asparagus is tender drain the asparagus and place them in a large bowl add the water and bring to a boil over high heat add the asparagus and cook until tender , about 10 to 15 minutes remove the asparagus and set aside in a small saucepan , melt the butter over medium heat add the flour and cook , stirring constantly , until the mixture thickens , about 3 minutes add the cream and cook for 2 to 3 minutes , stirring constantly , until the mixture is thickened and smooth remove the pan from the heat and stir in the flour and cook , stirring , until the sauce is thickened and smooth , about 5 minutes add the parmesan cheese and cook until the sauce thickens , stirring constantly , until the sauce is thick and smooth , stirring occasionally remove from the heat and stir in the butter and the parmesan cheese serve immediately <RECIPE_END>"
auld alliance,"cheese	scottish",4 servings,"350 g  roquefort cheese	whisky","<RECIPE_START> prepare the cheese according to directions on the package directions , then add the remaining ingredients and mix well <RECIPE_END>","<RECIPE_START> cut the cheese into small pieces and place in a bowl with the milk and the melted butter or margarine in a small bowl , toss the cheese and the bread crumbs in a small bowl , beat the eggs and the cheese until smooth add the salt and pepper to taste and blend until smooth <RECIPE_END>",<RECIPE_START> 1 - rrb - wash the herring well and cut into thin slices and cut into thin slices and cut into thin slices and cut into thin slices and cut into thin slices slices and serve with a salad dressing <RECIPE_END>,"<RECIPE_START> preheat the oven to 325 degrees f place the cheese in the top of a double boiler and cook over medium heat until the cheese melts , about 10 minutes add the cheese and cook for a few minutes , stirring constantly remove from the heat and stir in the cheese pour into the pan and bake in the middle of a preheated 350 degree oven for 45 minutes <RECIPE_END>"
green-olive relish,relishes,4 servings,"1/4 c  pitted,cured green olives	1/4 c  olive oil, extra-virg. pref.	1 ts minced garlic	1/4 c  fresh lemon juice	1/2    med. red onion, diced small	salt and freshly ground	1/4 c  chopped fresh parsley	- black pepper to taste",<RECIPE_START> combine all ingredients in a small bowl and mix well <RECIPE_END>,<RECIPE_START> combine all ingredients in a bowl and mix well serve with a salad <RECIPE_END>,<RECIPE_START> combine all ingredients in a blender or food processor and process until smooth <RECIPE_END>,"<RECIPE_START> combine garlic , onion , parsley , lemon juice salt , pepper and olive oil in a small bowl and whisk until well combined add olives , parsley , parsley , and salt and pepper to taste cover and refrigerate for at least 1 hour before serving <RECIPE_END>"
carne guzado,"beef	spices/etc.	mexican",6 servings,"1 lb stew meat	2    cloves garlic, crushed	2 tb cooking oil	1 ts chili powder	3 oz tomato paste (optional not	1/2 ts cumin recommended)                       2 sm chiles serranos, chopped	10 1/2 oz beef broth bouillon	3/4 c  water	1/2 ts black pepper","<RECIPE_START> saute the beef in the oil for 2 minutes add the onions and garlic and cook until the onions are translucent add the meat , tomatoes , tomato paste , chili powder , cumin , oregano , and cumin bring to a boil , then reduce the heat and simmer for 1 hour add the meat and cook for another 10 minutes add the meat and the rest of the ingredients simmer for another 10 minutes , stirring occasionally add the beans and simmer for another 10 minutes serve hot <RECIPE_END>","<RECIPE_START> in a large pot , heat oil over medium heat add onion , garlic , chili powder , cumin , and cumin cook for 5 minutes add the beer , beer , water , and chili powder bring to a boil , reduce heat and simmer for about 1 hour , stirring occasionally add water and bring to a boil reduce heat and simmer for about 1 hour <RECIPE_END>","<RECIPE_START> brown the meat in the oil add the onion , garlic , and chili powder , and cook for another 5 minutes add the chili powder , cumin , and chili powder , and simmer for another 10 minutes add the chili powder and the chili powder and simmer for another 10 minutes serve over rice <RECIPE_END>","<RECIPE_START> brown meat in oil add garlic , cumin , chili powder , chiles , water , tomato paste , and water bring to a boil reduce heat and simmer for 30 minutes add beef and simmer for 30 minutes add more water if necessary to prevent sticking <RECIPE_END>"
pollo pibil,"mexican	poultry",4 servings,"1    garlic clove	-including center rib	3    tbl. vegetable oil	1    (3 lb) chicken, quartered	1    med. onion, sliced	salt	4    lg. banana leaf sections, 't have banana leaves for this yucatan specialty, use foil only.","<RECIPE_START> in a large saucepan , heat oil over medium heat add chicken and cook until browned on all sides add chicken , chicken , and chicken broth and cook until chicken is tender , about 2 minutes add chicken and cook for another 5 minutes , stirring occasionally add the chicken and cook for another 5 minutes , stirring occasionally serve over rice <RECIPE_END>","<RECIPE_START> preheat oven to 350 degrees in a large bowl , combine the oil , salt , pepper , and garlic and mix well to coat the chicken pieces with the chicken , and place in a large bowl , cover with plastic wrap and refrigerate for at least 1 hour , or overnight , turning occasionally to prevent sticking and drain well on paper towels to drain in a large bowl , combine the chicken , onion , and garlic , and mix well add the chicken and marinate for at least 1 hour , or until the chicken is tender and the chicken is done , remove the chicken from the marinade and let cool completely cut into 1 - inch pieces and place in a large bowl and cover with the remaining chicken cover and refrigerate for at least 1 hour before serving <RECIPE_END>","<RECIPE_START> combine the garlic , garlic , ginger , and garlic in a small bowl add the chicken pieces and marinate for at least 2 hours , or overnight , turning the meat occasionally remove the chicken from marinade and place in a roasting pan pour the marinade over the chicken and cover the ribs with the marinade cover and cook on low for 8 to 10 hours , or until the chicken is tender and the juices run clear when pierced with a fork , about 15 minutes <RECIPE_END>","<RECIPE_START> heat chicken oil in a large skillet over medium heat add onion and garlic and cook until onion is tender , about 5 minutes add chicken and cook until chicken is tender , about 5 minutes add chicken and cook until chicken is tender , about 5 minutes transfer chicken to a serving platter and keep warm in a small saucepan , combine chicken , salt , and chicken juices bring to a boil reduce heat to low , cover and simmer until chicken is tender , about 10 minutes remove chicken from oven and let stand 5 minutes before serving <RECIPE_END>"
how to grill eggplant,"digest	feb95",1 servings,"x  eggplant	x  oil	x  balsamic vinegar	x  herbs of choice","<RECIPE_START> cook the oil in a large skillet over medium heat until the oil is hot , about 5 minutes add the garlic and cook for a further 5 minutes , stirring occasionally add the tomatoes and cook for another 5 minutes add the tomatoes and cook for another 5 minutes add the tomatoes and cook for another 5 minutes serve hot <RECIPE_END>","<RECIPE_START> cut the eggplant into 1 - inch slices and place in a single layer in a single layer in a single layer on a baking sheet and bake for about 30 minutes , or until they are golden brown and crisp on the side <RECIPE_END>","<RECIPE_START> slice eggplant into rings and fry in oil until golden brown on both sides , then turn them over with a slotted spoon , and sprinkle with salt and pepper <RECIPE_END>","<RECIPE_START> slice the eggplant and fry them in oil for a couple of minutes , turning frequently , until they are charred and charred on both sides remove and drain on paper towels serve hot or cold <RECIPE_END>"
hunan marinade,marinades,1 cup,"1/4 c  plus 1 tbs hoisin sauce	3 tb honey	2 tb soy sauce	2 tb dry sherry	2 tb sesame seeds	1    jalapeno chile seeded and minced	1 tb sesame oil	1 tb curry powder	1 tb orange zest finely grated	1 tb fermented black beans",<RECIPE_START> combine all ingredients in a small bowl and mix well <RECIPE_END>,"<RECIPE_START> in a small bowl , combine the soy sauce , honey , honey , and vinegar , and whisk to dissolve the sugar , then add the oil , vinegar , and salt and stir to blend well pour the mixture into a bowl and set aside for 30 minutes , then drain the marinade and place the shrimp on a serving platter and garnish with the remaining lemon wedges <RECIPE_END>",<RECIPE_START> combine all ingredients in a small bowl and mix well <RECIPE_END>,"<RECIPE_START> combine all the honey , sherry , soy sauce , sesame seeds , sesame oil , and hoisin sauce in a small bowl and mix well add the orange zest and mix well <RECIPE_END>"
hungarian christmas bread,"breads	hungarian",2 servings,"1 pk dry yeast	1 ts sugar	2/3 c  warm water	1 c  butter, at room temperature	1/4 c  sugar	1/2 ts salt	2 tb grated lemon peel	1/4 c  nonfat dry milk	2 1/2    to 3-1/2 cups unbleached flour	1 c  ground poppy seeds	1 c  sugar	1/2 c  raisins	1/2 c  milk	glaze:	1    egg beaten with 1 tsp wat","<RECIPE_START> dissolve yeast in warm water in a large bowl , stir in sugar , salt , and eggs add flour mixture , mixing well after each addition stir in flour and baking powder and salt add to flour mixture , stirring until smooth pour into greased and floured loaf pan bake at 350 degrees for 45 minutes <RECIPE_END>","<RECIPE_START> dissolve yeast in warm water in a large mixing bowl stir in sugar , salt , and butter stir until dissolved add yeast mixture to flour mixture and beat until smooth add flour , salt , and baking soda to the yeast mixture add the egg and mix well stir in the remaining flour , the remaining 1/2 cup of the flour , and salt and stir until smooth and elastic , about 10 minutes add the remaining flour , the remaining 1/2 cup of the flour , and the salt beat until smooth and elastic , about 5 minutes add the remaining flour , the remaining 1/2 cup of the flour , and the salt beat until smooth and elastic , about 5 minutes add the remaining flour , the remaining 1/2 cup of the flour , and the salt beat until smooth and elastic , about 5 minutes add the remaining flour , the remaining 1/2 cup of the flour , and the salt beat until smooth and elastic , about 5 minutes add the remaining flour , the remaining 1/2 cup of the flour , and the salt beat until smooth and elastic , about 5 minutes add the remaining flour , the remaining 1/2 cup of the flour , and the salt beat until smooth and elastic , about 5 minutes add the remaining flour and beat until smooth and elastic , about 5 minutes add the remaining flour and beat until smooth and elastic , about 5 minutes add the remaining flour and beat until smooth and elastic , about 5 minutes add the remaining flour and beat until smooth and elastic , about 5 minutes add the remaining flour and beat until smooth and elastic , about 5 minutes add the remaining flour and beat until smooth and elastic , about 5 minutes add the remaining flour and beat until smooth and elastic , about 5 minutes add the remaining flour and beat until smooth and elastic , about 5 minutes add the remaining flour and beat until smooth and elastic , about 5 minutes add the remaining flour and beat until smooth and elastic , about 5 minutes add the remaining flour and beat until smooth and elastic , about 5 minutes add the remaining flour and beat until smooth and elastic , about 5 minutes add the remaining flour and beat until smooth and elastic , about 5 minutes add the remaining flour and beat until smooth and elastic , about 5 minutes add the remaining flour and beat until smooth and elastic , about 5 minutes add the remaining flour and beat until smooth and elastic , about 5 minutes add the remaining flour and beat until smooth and elastic , about 5 minutes add the remaining flour and beat until smooth and elastic , about 5 minutes add the remaining flour and beat until smooth and elastic , about 5 minutes add the remaining flour and beat until smooth and elastic , about 5 minutes add the remaining flour and beat until smooth and elastic , about 5 minutes add the remaining flour and beat until smooth and elastic , about 5 minutes add the remaining flour and beat until smooth and elastic , about 5 minutes add the remaining flour and beat until smooth and elastic , about 5 minutes add the remaining flour and beat until smooth and elastic , about 5 minutes add the remaining flour and beat until smooth and elastic , about 5 minutes add the remaining flour and beat until smooth and elastic <RECIPE_END>","<RECIPE_START> in a large bowl , dissolve yeast in warm water add sugar , salt , and butter , and beat until smooth add to flour mixture , stirring until smooth and elastic , about 5 minutes add egg and vanilla beat until smooth and elastic , about 5 minutes add flour , salt , and cinnamon mix well divide dough into 2 equal portions roll each piece into a ball and place in a greased bowl , turning to coat all sides cover and let rise in a warm place until doubled in bulk , about 1 hour punch down and divide into 2 equal portions shape each into a ball and place in a greased bowl , turning to coat all sides cover and let rise in a warm place until doubled in bulk , about 1 hour punch down and divide into 2 equal portions shape each into a ball and place in a greased bowl , turning to coat all sides cover and let rise in a warm place until doubled in bulk , about 1 hour punch down and divide into 2 equal portions shape each into a ball and place in a greased bowl cover and let rise in a warm place until doubled in bulk , about 1 hour punch down and divide into 2 equal portions shape each portion into a ball and place in a greased bowl cover and let rise in a warm place until doubled in bulk , about 1 hour punch down and knead for about 5 minutes or until smooth and elastic turn out onto a lightly floured surface and knead until smooth and elastic , about 10 minutes shape into a ball and place in a greased bowl , turning to coat all sides cover and let rise in a warm place until doubled in bulk , about 1 hour punch down and knead for about 5 minutes or until smooth and elastic turn out onto a lightly floured surface and knead until smooth and elastic , about 10 minutes shape into a ball and place in a greased bowl , turning to coat all sides cover and let rise in a warm place until doubled in bulk , about 1 hour punch down and knead for about 5 minutes or until smooth and elastic turn out onto a lightly floured surface and knead until smooth and elastic , about 10 minutes shape into a ball and place in a greased bowl , turning to coat all sides cover and let rise in a warm place until doubled in bulk , about 1 hour punch down and knead for about 5 minutes or until smooth and elastic turn out onto a lightly floured surface and knead until smooth and elastic , about 10 minutes shape into a ball and place in a greased bowl , turning to coat all sides cover and let rise in a warm place until doubled in bulk , about 1 hour punch down and knead for about 5 minutes or until smooth and elastic turn out onto a lightly floured surface and knead until smooth and elastic , about 10 minutes shape into a ball and place in a greased bowl , turning to coat all sides cover and let rise in a warm place until doubled in bulk , about 1 hour punch down and knead for about 5 minutes or until smooth and elastic turn out onto a lightly floured surface and knead until smooth and elastic , about 10 minutes shape into a ball and place in a <RECIPE_END>","<RECIPE_START> combine yeast , sugar , salt , butter , milk , raisins , flour , egg , water , poppy seeds , and lemon peel in large bowl stir in yeast mixture , butter and flour mix well cover and let rise in warm place - lrb - 85 degrees - rrb - , free from drafts , until doubled in volume , about 1 hour punch down and let rise in warm place until doubled in bulk , about 1 hour punch down and let rise in warm place until doubled in bulk , about 1 hour punch down and let rise in warm place until doubled , about 1 hour punch down and let rise in warm place until doubled in bulk , about 1 hour punch down and let rise in warm place until double in bulk , about 1 hour preheat oven to 350 degrees f brush loaves with melted butter glaze bake at 350 degrees for 20 to 25 minutes or until golden brown <RECIPE_END>"
hungrymans stew venison,"wild game	main dish	hungarian",6 servings,"3 lb venison	2    onions, chopped	3 tb worchestershire sauce	2 lb potatoes	1 cn green beans	1 cn wax beans	1 cn corn	1 lb carrots, sliced	2 qt water	2 ts seasoned salt	1 ts pepper	2 ts oregano	2 ts garlic powder	4 tb cornstarch","<RECIPE_START> place meat in crockpot with water in a large saucepan , bring to a boil , reduce heat and simmer for 30 minutes add meat , onion , salt , pepper , and sugar cover and simmer for 1 hour or until meat is tender remove meat and vegetables to a serving platter add water to pan drippings add remaining ingredients to meat mixture cook , stirring constantly , until meat is tender add meat and vegetables and cook until meat is tender add remaining ingredients and simmer for 30 minutes serve with rice <RECIPE_END>","<RECIPE_START> brown meat in oil in a dutch oven , add onions , carrots , celery , carrots , salt , pepper , garlic powder and pepper cover and cook on low for 8 hours or until vegetables are tender and vegetables are tender <RECIPE_END>","<RECIPE_START> cut meat into bite - sized pieces and add to kettle add onions , celery , celery , and water simmer for 1 hour add potatoes , carrots , celery , and celery simmer for 1 hour add water and simmer for 1 hour add more water if necessary to make gravy , add a little more water if necessary to make gravy , add a little more water if necessary to make gravy , add a little more water if necessary to make gravy , add a little more water if necessary to make gravy , add a little more water if necessary to make gravy , add a little more water if necessary to make gravy , add a little more water if needed to make gravy , add a little more water if you like it , add a little more water if you like it , add a little more water if you like it , you can add a little more water if you like it , you can get it ! <RECIPE_END>","<RECIPE_START> boil onions in salt , pepper and water until beans are soft add carrots , garlic , potatoes , corn , oregano , salt , pepper , and water bring to a boil , reduce heat and simmer until potatoes are tender , about 1 hour add cornstarch and continue cooking for another 10 - 15 minutes until tender add the remaining ingredients and simmer for 30 minutes <RECIPE_END>"
husbands delight,"main dish	diabetic	casseroles",4 servings,"1 1/2 lb ground beef	2 ts salt and pepper	1 tb sugar - or sugar substitute	24 oz hunts tomato sauce;  with onions	4 oz cream cheese; softened to lower fat content - use low fat creamed cheese	1/2 pt sour cream	8 oz thin egg noodles;  cooked, drained	parmesan cheese	grated sharp cheese","<RECIPE_START> brown meat , onion and garlic in a large skillet until meat is brown drain off fat stir in the tomato sauce , salt and pepper cook over medium heat , stirring constantly , until the mixture is smooth and bubbly add the cheese and stir until the cheese melts and is thickened and bubbly <RECIPE_END>","<RECIPE_START> in a large skillet , brown ground beef and onion drain off fat add the meat , onion , salt , pepper , and pepper cook over medium heat , stirring constantly , until thickened and bubbly add the cheese and cook until the sauce is thickened and bubbly , stirring occasionally , about 10 minutes add the cheese and stir until the cheese melts serve over hot cooked noodles <RECIPE_END>","<RECIPE_START> in a large skillet , brown the meat in the oil add the meat and cook until the meat is brown drain off the excess fat add the cream cheese , sour cream , salt and pepper to taste mix well and add the sour cream , eggs , cheese , sour cream , and sour cream mix well spoon the mixture into a greased 2 - quart casserole dish and bake at 350 degrees for 30 minutes <RECIPE_END>","<RECIPE_START> saute ground beef and onions in fat until tender add salt , pepper , sugar , cheese , and tomato sauce simmer for 10 minutes add cream cheese and stir until well blended add sugar and cook until thickened , stirring constantly add cheese and cook until heated through serve with sour cream and parmesan cheese <RECIPE_END>"
indian style lemonade,"beverages	indian",8 servings,"8 c  water	1/2 c  fresh lime juice	2/3 c  fresh lemon juice	1 1/3 c  maple syrup	1/2 tb freshly grated ginger	1/8 ts cayenne, optional","<RECIPE_START> combine water , sugar , vinegar , and water in a saucepan bring to a boil , stirring constantly , until sugar is dissolved and mixture is thick and clear remove from heat stir in the pectin and stir until dissolved store in a cool place <RECIPE_END>","<RECIPE_START> combine all ingredients in a saucepan and bring to a boil reduce heat and simmer for 10 minutes , stirring occasionally <RECIPE_END>","<RECIPE_START> in a medium saucepan , combine the water , lemon juice , lemon juice , and sugar bring to a boil over medium heat , stirring constantly , until the sugar is dissolved remove from the heat and cool to room temperature , stirring occasionally , until the mixture is thick and creamy remove from the heat and stir in the lemon juice and lemon juice serve immediately <RECIPE_END>","<RECIPE_START> combine ginger , water , lemon juice , lime juice , and cayenne in a saucepan bring to a boil , cover , and simmer for 5 minutes remove from heat and let stand for 5 minutes before serving <RECIPE_END>"
indian tacos,"main dish	vegetables",6 servings,"1 1/2 c  dried anasazi beans	6 ea pieces indian frybread, - about 6"" in diameter	1 1/2 c  mache or arugula, washed & - stemmed	1 lg red ripe tomato, sliced	2 ea ripe avocados, halved & - sliced	1 ea red onion, thinly sliced	1 ea bunch red radishes, sliced	24 ea golden yellow plum tomatoes, - halved	6 ea green anaheim chiles	1 lg red bell pepper, or red - anaheim chile","<RECIPE_START> soak the beans overnight in cold water to cover drain and rinse well in cold water , drain and rinse with cold water drain again and let them soak for 30 minutes drain and rinse the beans and cut into 1/2 - inch cubes place the beans in a large bowl and cover with water and let soak for 30 minutes drain the beans and cut into 1/2 - inch cubes and set aside heat the oil in a large skillet over medium heat add the onion and garlic and cook until the onion is translucent , about 5 minutes add the garlic and cook for 2 minutes add the garlic and cook for another 5 minutes add the tomatoes , tomato paste , and the water bring to a boil , reduce heat and simmer , uncovered , for about 1 hour , stirring occasionally , until the beans are tender , stirring occasionally stir in the remaining ingredients and simmer for 15 minutes serve hot <RECIPE_END>","<RECIPE_START> in a large bowl , combine the beans , the beans , tomatoes , and the olives , and set aside in a large bowl , combine the remaining ingredients , except the cilantro , and cilantro toss gently to coat evenly refrigerate the mixture for at least 1 hour before serving <RECIPE_END>","<RECIPE_START> place beans , water , and kombu in a large pot bring to a boil , reduce heat , cover & simmer for 30 minutes , or until beans are tender drain & cool slightly in a large bowl , combine all ingredients except the vegetables & mix well let stand overnight in refrigerator or overnight heat oil in a large pot over medium heat add onions & cook until soft , about 5 minutes add tomatoes & cook for another 5 minutes add tomatoes & cook for another 5 minutes add tomatoes & cook for another 5 minutes add tomatoes & cook for another 5 minutes add tomatoes & cook for another 5 minutes add tomatoes & cook for another 5 minutes add tomatoes & cook for another 5 minutes add the tomatoes & cook for another 5 minutes add the tomatoes & cook for another 5 minutes add the tomatoes & cook for another 5 minutes , stirring occasionally add the tomatoes & cook for another 5 minutes add the tomatoes & cook for another 5 minutes , stirring occasionally add the tomatoes & stir to dissolve the beans add the remaining ingredients , except the beans , and cook for another 5 minutes , stirring occasionally serve hot <RECIPE_END>","<RECIPE_START> wash beans and place in a bowl with the onion , chiles , chile and tomato paste , and toss gently to coat well cover and refrigerate for at least 1 hour before serving , heat the remaining 2 tablespoons of the hot red beans in a small saucepan and add the pine beans and cook , stirring , for 5 minutes , stirring constantly add the beans , cover and cook for 5 minutes longer , or until the beans are tender and the beans are tender , about 10 to 15 minutes serve hot <RECIPE_END>"
indonesian vegetable salad,"vegetarian	salads",6 servings,"1 c  cubed, firm tofu (1/2-in. cubes	2    stalks celery, cut into julienne strips	2    carrots, shredded	2    italian plum tomatoes, cut into thin wedges	1/2    cucumber, thinly sliced	1 c  fresh bean sprouts	1 c  broccoli florets	1/2 c  szechuwan peanut dressing	garnish: raisins, toasted sesame seeds, fresh watercress sprigs, or unsalted peanuts, optional	1/3 c  peanut butter, smooth or crunchy	1/2 c  hot vegetable stock or hot water	1 ts soy sauce	2 tb rice vinegar	2 tb safflower oil	2    cloves garlic, minced	1/2 ts dry crushed red pepper (1 teaspoon if you prefer spicy flavoring",<RECIPE_START> combine all ingredients in a bowl and toss well cover & refrigerate for at least 1 hour or until serving time <RECIPE_END>,<RECIPE_START> place tofu in a large bowl add the remaining ingredients and toss to coat cover and refrigerate for at least 1 hour or overnight drain and rinse under cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold water drain and rinse with cold <RECIPE_END>,"<RECIPE_START> in a large bowl , combine all ingredients except lettuce , and toss well cover and refrigerate at least 2 hours or overnight to serve , place a lettuce leaf on each of 4 plates top with lettuce leaves , and serve <RECIPE_END>","<RECIPE_START> combine peanut butter , water , carrots , oil , soy dressing , garlic , soy sauce , sesame oil , sesame oil , sesame seeds , peanuts , red pepper flakes and vegetable stock in a small bowl and stir well add broccoli florets and toss until well blended serve immediately <RECIPE_END>"
instant coffee-swiss style mocha mix,"beverages	mixes",24 servings,"1/2 c  instant coffee granules	1/2 c  sugar	2 tb cocoa	1 c  nonfat dry milk powder","<RECIPE_START> combine all ingredients in a blender and blend until smooth store in a cool , dry place <RECIPE_END>","<RECIPE_START> combine all ingredients in a blender and process until smooth pour into a tall glass or glass bowl and freeze until firm , about 1 hour <RECIPE_END>",<RECIPE_START> combine all ingredients in a blender container cover and blend on high speed until smooth <RECIPE_END>,"<RECIPE_START> combine cocoa and sugar in a blender container , beating well after each addition blend in the milk and coffee granules <RECIPE_END>"
